id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the tree to find the root node of an instance branch, incrementing the depth with each level, and raising an exception if no instance root is found.","Recursively traverses up the tree to locate the root of an instance branch, increasing the depth counter with each level, and raising an exception if an instance root is not found.",19.05,62.69,30.77,53.73,77.51
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,Recursively counts the number of 'is_instance' child branches within a tree structure of VSSDataBranch objects.,Recursively counts the depth of 'is_instance' child branches within a tree of VSSDataBranch objects.,2.12,41.03,5.41,30.77,77.29
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies child node IDs from a list by filtering for those whose expected parent matches a given name.,Filters a list of node IDs to return those whose expected parent matches a specified name.,11.19,54.05,28.57,48.65,74.35
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object by name, returning a specified default value if the attribute is not found or is None.","Retrieves an attribute from an object by name, returning a provided default value if the attribute is missing or its value is None.",52.56,81.82,66.67,81.82,87.14
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Generates Protocol Buffer (proto3) definitions from a signal tree by extracting data types, writing imports, and recursively creating message structures for each branch node.","Generates Protocol Buffer (proto3) definitions from a signal tree, extracting data types, writing necessary imports, and recursively defining message structures for each branch node to represent automotive signals.",5.34,51.85,15.38,40.74,72.69
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate","Extracts and organizes instance names associated with their root fully qualified names from a VSSNode tree, filtering for instance branches without further instance children to create a dictionary mapping root FQNs to lists of instance names.","Identifies and groups instance names under their respective root fully qualified names within a VSSNode tree, excluding branches with nested instances, to produce a dictionary mapping root FQNs to lists of instance names.",4.07,35.82,9.23,20.9,63.78
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a given node in a VSS tree is a leaf node by verifying if its data is an instance of the VSSDataDatatype class.,Determines if a VSS tree node is a leaf node by checking if its data attribute is of type VSSDataDatatype.,24.77,74.42,48.78,74.42,85.32
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,"Checks if a VSSNode represents a VSSDataBranch with a non-instance data type, indicating a valid VSS branch.",Determines if a VSSNode represents a valid VSS branch by verifying it's a VSSDataBranch with an 'is_instance' flag set to False.,1.79,33.33,5.88,27.78,66.89
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a given VSSNode represents an instance of a VSSDataBranch by verifying its data type and an 'is_instance' flag.,Determines if a VSSNode's data is a VSSDataBranch instance by inspecting its type and an associated 'is_instance' attribute.,8.93,42.11,11.11,31.58,73.01
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively multiplying the hash by a prime and XORing with each byte.,Computes a 32-bit FNV-1a hash value for a byte string using a prime multiplier and XOR operation in a loop.,27.58,73.33,44.83,66.67,85.19
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates a layout file to create a view for a fragment, finds the card title and icon views within the inflated layout, and returns the root view.",Inflates a layout file to create a view for a fragment and retrieves references to the card title and icon views within that layout.,21.07,66.67,30.43,58.33,77.25
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null","Updates the visibility and properties (icon, click listener) of an ImageButton based on the presence and content of a DescriptiveTextWithControlsView.Control object.","Configures an ImageButton's icon, click listener, and visibility based on the provided DescriptiveTextWithControlsView.Control content.",4.35,55.32,8.89,25.53,67.6
30,java,"Lazily inflates a `ViewStub` to create a descriptive text layout, caches references to its child views (title, subtitle, image), and returns the inflated layout","Lazily inflates and caches a ViewStub into a descriptive text-only layout, retrieving its title, subtitle, optional image, and tap-for-more text elements for later use.","Lazily inflates a ViewStub into a descriptive text-only layout, caching the inflated view and retrieving its title, subtitle, optional image, and tap-for-more text elements for later use.",13.08,54.9,24.49,50.98,74.67
31,java,Updates the header view on the main UI thread by making its root view visible and setting the card's title and icon from the provided `CardHeader` object,"Updates the UI elements (visibility, title, and icon) of a card header view on the main thread to reflect the provided card header data.","Updates the card header view's UI elements (visibility, title, and icon) on the main thread using the provided header data.",17.92,57.69,32.0,38.46,75.54
32,java,"Lazily inflates a `ViewStub` to create and return the text block layout view, while also finding and caching references to its child text views on the first call","Lazily initializes and returns a View representing a text block layout, inflating it from a ViewStub if it doesn't already exist and retrieving its associated text block and tap-for-more elements.","Lazily initializes and returns a View representing a text block layout, inflating it from a ViewStub if it's null and retrieving its associated text block and tap-for-more elements.",5.98,36.07,10.17,26.23,70.4
33,java,"Queries the `PackageManager` for a `MediaBrowserService` within a given package and returns a `ComponentName` for the first one found, or `null` if none exist",Retrieves the component name of a media browsing service within a specified package by querying the package manager for services that implement the MediaBrowserService interface.,Locates the component name of a media browsing service within a given package by querying the package manager for services implementing the MediaBrowserService interface.,3.12,32.65,4.26,28.57,67.2
34,java,"Determines if a component should be added to a launchable list, returning `false` if its package is explicitly hidden or if it's a custom media component and launchable apps are also being shown, otherwise returning `true` for valid launchable or media service types","Determines whether a component should be added to the launchables list based on a hide list, custom media component settings, and the component's application type.","Determines if a component should be added to the launchables list by checking a hide list, custom media component settings, and the component's application type.",11.62,40.0,20.59,37.14,68.68
35,java,"Sets the car's media source to a given component in browse mode and finishes the context if it's an Activity, catching and logging a `CarNotConnectedException` if the car service is unavailable","Selects a media source component, sets its mode to browse, and finishes the activity if it's running, handling potential connection errors.","Selects a media source component, sets its mode to browse, and finishes the activity if it's running, gracefully handling car connection errors.",6.71,54.55,18.87,36.36,71.35
36,java,"Safely checks if a given activity is distraction optimized using the `CarPackageManager`, returning `false` and logging an error if the manager is null or a `CarNotConnectedException` is caught","Checks if a specified activity within a given package is optimized for distraction mitigation by querying the car package manager, handling potential connection errors.","Determines if an activity is distraction-optimized by querying the car package manager, gracefully handling car disconnection exceptions.",3.72,42.31,12.0,30.77,66.79
38,java,"Retrieves a specific, resolvable map `Intent` from a configured list if it matches the system's default map app, otherwise falls back to a generic `Intent` for any map application","Retrieves the preferred Intent for launching maps, prioritizing activities specified in a configuration array and falling back to a default maps activity if no preferred activity is found or resolves.","Retrieves the preferred Intent for launching maps, iterating through a configuration array of preferred activities and returning the first resolvable activity, or a default maps activity if none are found.",5.44,33.33,10.34,20.0,63.15
39,java,"Lazily initializes a set of `HomeCardModule`s by reflectively instantiating class names from a configuration array, and then uses a `FragmentTransaction` to add each module's card view to the UI layout","Initializes and displays a set of HomeCardModule fragments by dynamically creating instances of classes specified in a resource array, adding them to a set, and then replacing corresponding view IDs with their card views within the fragment manager.”","Initializes and displays a set of HomeCardModule fragments by dynamically creating instances of classes listed in a configuration resource, adding them to a set, and then replacing designated view IDs with their card views within the fragment manager.”",7.27,42.86,11.76,34.29,70.85
40,java,"Iterates through a list of appeared tasks and uses the `ActivityTaskManager` to remove any task that is in multi-window mode, logging it as a dangling task",Removes dangling tasks (those in multi-window mode) from the ActivityTaskManager by iterating through a list of task appearance information and removing tasks based on their windowing mode.,Removes dangling multi-window tasks from the ActivityTaskManager by iterating through a list of task appearance information and removing tasks identified as being in multi-window mode.,13.12,50.91,26.42,25.45,72.57
41,java,Parses the mode from the current Intent and sets the title for both the Activity and the CarUi toolbar using the string resource ID defined in that mode,"Updates the application's mode by parsing it from the intent, setting the title of the activity and toolbar based on the parsed mode's title string ID.","Parses the application mode from the intent, and updates the activity and toolbar titles accordingly.",4.97,53.57,14.81,50.0,77.56
42,java,"Lazily initializes and returns a `Chronometer` by finding it in the layout, while also finding and caching its associated separator view on the first call","Retrieves a Chronometer view from the layout, initializing it if it's null, to display an optional timer within a descriptive text view.","Lazily retrieves a Chronometer view from the layout, initializing it if null, to display an optional timer within a descriptive text view.",6.15,25.0,8.7,20.83,64.9
43,java,"Lazily inflates a media layout from a `ViewStub`, finds and caches its title and subtitle views, initializes its media playback controls bar via a presenter, and returns the inflated view","Lazily initializes and returns a media layout view by inflating a ViewStub, finding title and subtitle text views, and initializing the media control bar with the presenter.","Lazily initializes and returns a media layout view by inflating a ViewStub, populating title and subtitle text views, and initializing the media control bar via a presenter.",10.35,66.67,21.82,45.61,80.02
44,java,"If a valid `Drawable` and card size are provided, this method scales the image to a square based on the card's largest dimension, blurs it, and sets the resulting bitmap as the animated, visible card background","Updates the card's background image by scaling a provided drawable to the larger dimension of the card size, blurring it, and setting it as the card's blurred background image with an animation.","Updates the card's background image by scaling a provided drawable to the larger dimension of the card size, blurring it, and setting it as the card's blurred background image.",6.33,53.52,14.49,30.99,71.06
45,java,Makes the media layout view visible and updates its title and subtitle with the provided text,Updates the visibility and text content of a media view component with a provided title and subtitle.,Updates a media view's visibility and text fields (title and subtitle) with the given CharSequence values.,10.8,66.67,12.9,36.36,80.38
46,java,"If the content's start time is positive, this method makes a chronometer and a separator visible, sets the chronometer's base time, and starts it; otherwise, it hides both views",Updates the visibility and configuration of a chronometer to display the duration of audio content based on its start time.,"Controls the visibility and start time of a chronometer to display the duration of audio content, based on whether a start time is provided.",3.18,31.37,8.16,19.61,61.71
47,java,Registers a member callback to the provided `Call` object after verifying it is not null,"Registers a callback with a newly added call object, ensuring the call object is not null before registration.",Registers a callback with a newly added call object if the call object is not null.,10.08,54.55,25.81,54.55,75.29
48,java,"Handles the removal of a call by clearing the current call and card content, notifying the presenter of the model update, and unregistering its callback from the call object for cleanup","Handles the removal of a call by clearing call-related data, notifying the presenter of the model update, and unregistering a callback from the removed call object.","Resets call-related data, notifies the presenter of an update, and unregisters a callback when a call is removed.",56.36,79.31,64.29,79.31,87.79
49,java,"Formats a phone number to create a new `DescriptiveTextWithControlsView` with call details and controls, then notifies the presenter that the model has been updated","Formats a phone number, updates a descriptive text view with the formatted number and associated controls, and notifies a presenter of the model update.","Formats a phone number using TelecomUtils, updates a descriptive text view with the formatted number and related UI elements, and informs a presenter about the updated model.",13.5,54.17,17.39,50.0,77.65
50,java,"Initializes mute, end call, and dialpad buttons by assigning each an icon and a click listener to toggle mute status, disconnect the current call, and delegate to an onClick handler, respectively","Initializes audio control buttons (mute, end call, dialpad) within a view, assigning click listeners to toggle mute state, disconnect the call, and open the dialpad respectively.","Initializes audio control buttons (mute, end call, dialpad) within a view, configuring click listeners to toggle mute state, disconnect the call, and trigger a dialpad action.",20.81,59.65,21.82,52.63,76.33
53,cpp,"When a new listener is added, this callback immediately notifies it with an `AVAILABLE` status if the D-Bus connection is already active",Notifies a newly added listener with an AVAILABLE status if the DBus connection is currently connected.,"If the DBus connection is connected, notifies a newly added listener with an AVAILABLE status; otherwise, the listener is not notified.",8.75,61.54,32.43,51.28,79.66
54,cpp,"Atomically registers a given thread to be joined later by adding it to a list, but only if its associated connection is active and the thread is not already present in the list","Registers a thread with a connection for cleanup on exit, ensuring the thread is added to a list of threads associated with the connection if the connection exists.","Registers a thread with a connection for cleanup on exit by adding it to a list of threads associated with the connection, provided the connection already exists.",8.25,42.62,16.95,29.51,66.59
56,cpp,A callback function that handles the removal of a D-Bus watch by stopping its monitoring and disassociating the high-level wrapper object from the underlying `libdbus` watch,"Handles the removal of a DBus watch by stopping its monitoring if ready and clearing associated data, logging an error if the provided context data is null.","Removes a DBus watch by stopping monitoring if active, clearing associated data, and logging an error if the context data is null.",21.22,43.64,30.19,43.64,69.39
57,cpp,"Handles the toggling of a D-Bus watch by creating a C++ wrapper object for it on first use, and then starting or stopping its monitoring based on its readiness status",Manages the watching state of a DBus connection by either initializing a new DBusWatch object or toggling the watching state of an existing one based on readiness and context data.,"Manages a DBus connection's watch state, initializing or toggling watching based on readiness and associated context, ensuring proper resource management and dispatch source integration.",4.19,39.34,6.78,32.79,72.63
58,cpp,"Lazily initializes and returns a thread-safe, singleton `DBusObjectManager` instance using a double-checked locking pattern","Lazily initializes and returns a shared pointer to a DBusObjectManager, ensuring thread-safe creation using a mutex and double-checked locking.","Provides a thread-safe, lazily initialized shared pointer to a DBusObjectManager, created only once and accessible through a double-checked locking mechanism.",23.42,70.27,45.71,64.86,82.71
59,cpp,"Decrements a reference count for a given D-Bus service name, releasing it from the bus if the count reaches zero, and returns `true` on success or `false` if the name was not being tracked","Releases a D-Bus service name by decrementing its count or calling `dbus_bus_release_name` if the count reaches one, while ensuring thread safety with a recursive mutex.","Releases a D-Bus service name by decrementing its count or releasing it via `dbus_bus_release_name` if the count reaches one, ensuring thread safety with a recursive mutex and handling potential D-Bus errors.",11.46,43.75,19.35,31.25,66.86
60,cpp,"Steals the reply from a `DBusPendingCall` handle and wraps it in a new `DBusMessage` object that takes ownership, returning an empty message if the input handle is null","Extracts a DBusMessage from a DBusPendingCall by stealing the reply and creating a corresponding DBusMessage object, handling null input and managing reference counts.","Extracts a DBusMessage from a DBusPendingCall by stealing the reply and creating a corresponding DBusMessage object, handling null input and avoiding reference count increases.",4.07,43.14,16.33,31.37,71.45
61,cpp,Thread-safely deallocates a collection of asynchronous D-Bus message reply handlers by moving them from a protected member list to a local copy before iterating through and deleting each one,"Deletes asynchronously registered DBus message reply handlers by transferring them from a protected vector to a local vector, clearing the protected vector, and then iterating through the local vector to delete each handler.","Deletes asynchronously registered DBus message reply handlers by safely transferring them from a protected vector to a local vector, clearing the protected vector, and then iterating through the local vector to delete each handler.",17.58,46.87,29.03,43.75,75.27
62,cpp,Thread-safely notifies all registered signal handlers of a successful state by invoking their `onSpecificError` callback with a `SUCCESS` status for each associated signal tag,"Iterates through registered DBus signal handlers and their associated tags, notifying each handler of a successful call status for each tag after acquiring a lock to protect the signal state handlers map.","Iterates through registered DBus signal handlers and their associated tags, calling the handler's `onSpecificError` method with a success status for each tag after safely copying the signal state handlers map.",9.06,52.63,18.18,35.09,67.17
63,cpp,"Thread-safely removes a connection, identified by its ID, from an internal collection if it exists",Releases a connection by removing it from a protected map of connections under a recursive mutex lock.,"Removes a connection from a protected map of connections, ensuring thread safety with a recursive mutex lock.",5.4,30.3,6.45,24.24,67.24
64,cpp,"Handles an incoming D-Bus signal by dispatching it to the appropriate handler for either ""InterfacesAdded"" or ""InterfacesRemoved"" events based on the message's member name",Handles D-Bus messages related to instance availability status changes by routing 'InterfacesAdded' and 'InterfacesRemoved' signals to the appropriate event handler.,Dispatches D-Bus messages indicating added or removed interfaces to their respective signal handlers within the instance availability status event.,5.99,42.55,13.33,34.04,79.37
65,cpp,"Retrieves available service instances from a registry, translates the internal D-Bus representation into a vector of `DBusAddress` objects, and populates the provided output vector and status parameter","Retrieves a list of available DBus service instances from a registry and populates a vector with their addresses, setting a success status if the operation completes without errors.","Retrieves available DBus service instances from a registry, translating them into a vector of DBus addresses and setting a success status.",16.37,50.0,22.22,39.29,73.47
66,cpp,"Gets the availability status of a service instance by translating its identifier to a D-Bus address and querying a registry, setting the result and a success status in output parameters","Determines the availability status of a DBus service instance by translating an address, checking its liveness in a registry, and updating the availability and call status accordingly.","Retrieves the availability status of a DBus service instance by translating its address, querying a registry for its liveness, and setting the availability and call status.",25.3,62.07,28.57,51.72,77.77
67,cpp,"Handles a D-Bus ""InterfacesRemoved"" signal by parsing the object path and interface names, and for any interface matching the one being observed, notifies listeners that its status has changed to ""NOT_AVAILABLE","Handles a DBus signal indicating the removal of interfaces from an object, removing observed interfaces and updating availability status if the signal pertains to the currently observed interface.","Processes a DBus signal for interface removal, specifically removing and updating the availability status of an observed interface if it matches the signal's interface name.",2.98,36.07,3.39,26.23,65.08
68,cpp,Notifies listeners of an interface's availability change by translating its D-Bus path and name into a generic CommonAPI address,Notifies listeners about a change in the availability status of a DBus interface by translating a DBus address to a common address format and then invoking a notification function.,Translates a DBus address for an interface and notifies listeners of a change in its availability status.,4.42,44.0,8.33,32.0,78.15
69,cpp,"Thread-safely schedules a task on the main event loop to notify a newly added listener, passing along its specific subscription details",Adds a listener to the DBusProxy and schedules a function to notify that listener within the main loop when a specific DBus event occurs.,Adds a listener to the DBusProxy and schedules a DBus notification to be sent to that listener within the main loop when a specific event occurs.,6.07,47.83,13.64,30.43,66.83
70,cpp,Thread-safely removes all listeners from an internal collection that match the provided `Subscription` identifier,"Removes a listener from a collection of listeners associated with a specific subscription, ensuring thread safety with a recursive mutex.","Removes a listener and its associated subscription from a collection of listeners, protected by a recursive mutex to ensure thread safety.",2.27,34.29,0.0,22.86,70.75
71,cpp,Delegates the registration of a signal state handler for a specific subscription to the underlying connection object,Adds a signal handler and its associated subscription to the connection's signal state management.,"Registers a signal handler with the connection, associating it with a specific subscription for signal state management.",12.58,50.0,26.67,43.75,72.87
72,cpp,Handles the result of an asynchronous service instance query by translating the `DBusAddress` list to a string list on success and invoking a final callback with the call status and the translated list,"Handles the asynchronous callback for retrieving DBus service instances, translating DBus addresses to strings and passing the status and available instances to the provided callback function.","Processes the asynchronous callback result for retrieving DBus service instances, converting DBus addresses to strings upon success and delivering the call status and instances to the callback.",3.87,40.68,7.02,37.29,67.79
73,cpp,"Dispatches an incoming `DBusMessage` to a registered handler based on its object path and interface, or handles it as a standard introspection request, returning `true` if the message was processed","Handles incoming DBus messages by looking up a registered interface handler, calling its message handler if found, or handling the 'org.freedesktop.DBus.Introspectable' interface directly.","Handles incoming DBus messages by searching for a registered interface handler, invoking its message handling function if found, or processing messages for the 'org.freedesktop.DBus.Introspectable' interface.",3.81,39.29,3.7,25.0,68.15
74,cpp,"Registers a D-Bus interface handler for a specific path, returning `false` if the exact handler is already registered, but allowing idempotent registration for standard `ObjectManager` and `Properties` interfaces","Adds a DBus interface handler to a table, checking for existing entries and handling specific object manager interfaces to avoid duplicate additions.","Adds a DBus interface handler to a table, preventing duplicates and handling special cases for object manager interfaces.",2.78,31.37,4.08,27.45,64.63
75,cpp,"Registers a given `DBusInterfaceHandler` to a specific path in a table, returning `true` on success and `false` if the handler is already registered for that path","Adds a DBusInterfaceHandler to a table of registered objects, keyed by interface path, ensuring no duplicate handlers are added for a given path.","Adds or updates a DBusInterfaceHandler in a table of registered objects, keyed by interface path, preventing duplicate handlers for the same path.",4.55,44.9,17.02,32.65,66.25
78,c,"Constructs and sends a 2-byte UDS positive response to an ECU Reset request, containing the positive response SID and the echoed reset type, over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails","Sends a positive response to an ECU reset request via ISOTP, constructing a message with a specific SID and reset type, and logging any transmission errors.","Sends a positive response to an ECU reset request via ISOTP, constructing a message with a specific SID and reset type, and logging any transmission errors.",12.47,51.52,28.12,45.45,78.3
79,c,"Processes a UDS ECU Reset request, validating the 2-byte message length, sending a positive response before triggering a system reboot for a 'hard reset', and sending a negative response for either an incorrect length or an unsupported reset sub-function","Handles an ECU reset request by validating the message length, processing a hard reset type by initiating a cold reboot, and returning an error for unsupported reset types.","Handles an ECU reset request by validating the message length and processing a hard reset type by initiating a cold reboot, while returning an error for unsupported reset types.",5.69,52.17,20.9,40.58,76.16
80,c,"Constructs and sends a 4-byte UDS positive response for a ""Request Download"" service, specifying a maximum block length of 0x00D2, over a CAN bus using the ISO-TP protocol and logging an error on failure","Sends an ISO Transport Protocol (ISOTP) request download response message with a specified SID, response code, and block size to a CAN device using a predefined context and callback function.","Sends an ISO Transport Protocol (ISOTP) request download response message to a CAN device, configuring the message with a specific SID, response code, and block size, and utilizing a predefined context and callback function for transmission.",2.87,45.45,6.25,27.27,67.13
81,c,"Constructs and sends a 2-byte UDS positive response for a Transfer Data request (containing the positive SID and the block sequence counter) over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails","Sends a transfer data response message over ISOTP using a specified block sequence counter and CAN device, logging an error if transmission fails.","Sends a transfer data response message over ISOTP using a specified block sequence counter and CAN device, logging an error if transmission fails.",11.99,61.29,30.0,45.16,78.82
82,c,"Constructs and sends a 5-byte UDS positive response for the Routine Control service (containing the routine control type, routine ID, and a result code) over a CAN bus via ISO-TP, logging an error if the transmission fails","Sends a UDS routine control result message via ISOTP, encapsulating the routine ID and result within a specific diagnostic service identifier and error-logging if transmission fails.","Sends a UDS routine control result message via ISOTP, encapsulating the routine ID and result within a positive response service identifier and logging errors if transmission fails.",3.64,57.58,18.75,45.45,76.48
83,c,"Constructs and sends a 1-byte UDS positive response for a Transfer Exit request (containing the request SID + 0x40) over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails",Sends a positive transfer exit response message over ISOTP using a predefined service ID and error handling for transmission failures.,"Sends a positive transfer exit response message over ISOTP to a specific CAN ID, utilizing a predefined service ID and logging transmission errors.",1.37,47.27,7.55,32.73,70.73
85,c,"Searches a predefined `id_mapping` array for a given CAN ID and returns its corresponding index, or `0xff` if the ID is not found","Maps a CAN identifier to an index within a translation table by iterating through the table and returning the index if a match is found, otherwise returning 0xff.","Maps a CAN identifier to an index within a translation table by searching for a matching CAN identifier and returning the corresponding index, or 0xff if no match is found.",2.26,38.46,0.0,26.92,68.74
86,c,"Disables a specific LIN-to-CAN receive filter by clearing its callback pointer, or disables all filters if a special ID is passed, while ignoring out-of-bounds IDs","Removes a CAN receive filter by setting the corresponding callback function to null, either for all translatable addresses or a specific filter ID, within the device's data structure.","Removes a CAN receive filter by disabling the associated callback function for a specified filter ID, or all translatable addresses if the ID matches a special value, within the device's data structure.",6.99,41.38,14.29,31.03,68.06
87,c,"A LIN driver callback that retrieves a pending outgoing frame from a message queue, copies its data for transmission, invokes a frame-specific completion callback, and returns a boolean indicating if a frame was successfully prepared","Retrieves a LIN frame from a message queue, copies its data into a provided LIN frame structure, and then invokes a user-defined callback function to transmit the frame via CAN.","Retrieves a LIN frame from a message queue, populates a provided LIN frame structure with its data, and triggers a user-defined callback function to handle the frame's transmission over CAN.",25.46,53.73,30.77,44.78,73.57
88,c,"Acts as a LIN-to-CAN gateway callback, translating an incoming LIN frame by using its first data byte's top two bits as an index to find a target CAN ID, constructing a new CAN frame with the translated ID and a payload where those index bits are masked out, and finally invoking a registered handler with the resulting CAN frame","Handles incoming LIN frames by translating the LIN identifier to a CAN identifier, extracting relevant data, and invoking a registered callback function to process the translated CAN frame.","Processes incoming LIN frames by translating their identifier to a CAN identifier, extracting data, and invoking a registered callback function to handle the translated CAN frame.",3.47,44.44,11.36,28.89,70.22
89,c,"Initializes a high-voltage shield by configuring its Output Enable (OE) GPIO, writing a zeroed state to its hardware registers, and then setting the OE pin to enable the device's outputs, logging errors at each step","Initializes a High-Voltage Shield device by configuring the output enable GPIO pin, initializing internal registers, updating the shield state, and enabling the shield output.","Initializes a High-Voltage Shield device by configuring and enabling the output enable GPIO pin, initializing internal registers, and updating the shield's operational state.",4.14,54.84,20.0,41.94,74.65
90,c,"Sets the gain for a specified DAC (0 or 1) on a high-voltage shield by updating its value in a cached data structure and then calling an update function to write the new configuration to the hardware, returning an error for an invalid DAC index","Sets the digital-to-analog converter (DAC) gain for a High Voltage (HV) shield device by updating a register and triggering an update function, validating the DAC number and gain value.",Sets the gain of a specified DAC (0 or 1) for an HV shield device by updating a corresponding register and triggering a device update.,6.82,51.95,21.33,44.16,69.18
