id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
45,java,Makes the media view visible and sets its title and subtitle,This code updates the visibility and text content of a media view with a given title and subtitle.,This code displays a media view and sets its title and subtitle text.,39.35,66.67,54.55,66.67,79.32
46,java,"Starts and shows a chronometer if a start time is positive; otherwise, hides it","This code manages the visibility and state of a chronometer (timer) based on the start time of an audio content, displaying it when the start time is positive.",This code controls the visibility and start time of a chronometer to display audio duration when a start time is provided.,13.36,40.0,24.24,40.0,64.76
47,java,Registers a callback on a newly added call,Registers a callback with a given call object if the call object is not null.,"Registers a callback on a call object, ensuring the object is not null.",25.75,57.14,42.11,57.14,71.76
48,java,Resets state and unregisters the callback when a call is removed,"This code handles the removal of an active call by clearing related data, notifying the presenter of the update, and unregistering a callback.",This code cleans up call-related data and notifies the presenter when a call is removed.,24.9,51.85,32.0,51.85,68.13
49,java,Updates the ongoing call view model with a formatted phone number and UI controls,Formats a phone number and updates the UI with the formatted number and associated controls.,"Formats a phone number, updates the UI with the formatted number, and notifies a presenter of the update.",5.14,56.25,20.0,37.5,65.68
50,java,"Initializes the Mute, End Call, and Dialpad buttons for an in-call user interface","Initializes audio control buttons (mute, end call, dialpad) with associated actions within an in-call user interface.","Initializes audio control buttons (mute, end call, dialpad) and assigns click listeners to manage call muting, disconnection, and dialpad access.",3.49,47.06,18.75,35.29,68.54
53,cpp,Notifies a newly added listener if the D-Bus connection is already available,This code notifies a newly added listener of the current D-Bus connection availability status (available if connected).,This code notifies a newly added listener of the D-Bus connection's availability status.,21.14,64.29,53.85,64.29,79.82
54,cpp,"For an active connection, adds a thread to a list to be joined on exit, avoiding duplicates",The function associates a thread with a connection and adds the thread to a vector of threads to be joined upon exit.,The function associates a thread with a connection and manages a list of threads to be joined when the connection exits.,9.77,42.11,22.22,36.84,71.55
56,cpp,A callback to stop monitoring a D-Bus watch and clean up its associated data,This function handles the removal of a DBus watch by stopping its monitoring and clearing associated data.,"This function removes a DBus watch, stopping monitoring and clearing associated data when a watch is removed.",5.33,43.75,6.67,31.25,74.17
57,cpp,"A libdbus callback that creates, starts, or stops a D-Bus watch based on its readiness status","This function manages a DBus watch object, starting or stopping monitoring based on its readiness and context.","This function toggles the watching state of a DBus watch object, creating it if necessary and managing its dependencies.",2.57,16.67,0.0,16.67,65.38
58,cpp,Thread-safely gets or creates a singleton DBusObjectManager instance using double-checked locking,"This code provides a thread-safe getter for a shared pointer to a DBusObjectManager, lazily initializing it if it doesn't already exist.",This code lazily initializes and returns a thread-safe shared pointer to a DBusObjectManager.,3.38,22.22,0.0,22.22,74.26
59,cpp,Performs a reference-counted release of a D-Bus service name,"Releases a service name on the DBus connection, decrementing a counter if the name is held multiple times.","Releases a service name on the DBus connection, removing it if it was the only owner.",4.75,22.22,8.0,22.22,67.51
60,cpp,Steals the reply from a pending D-Bus call and wraps it in a DBusMessage object,"This function converts a libdbus pending call reply to a DBusMessage object, handling null input and transferring ownership of the libdbus message.",This function extracts the reply from a libdbus pending call and converts it into a DBusMessage object.,22.79,66.67,38.71,66.67,85.58
61,cpp,Safely deletes all pending asynchronous handlers from a shared list,This function safely deletes asynchronous DBus message handlers stored in a protected vector by transferring ownership and then iterating to free the memory.,"This function safely deletes asynchronous DBus message handlers stored in a protected vector, ensuring thread-safe access before deallocation.",2.71,34.48,7.41,34.48,71.82
62,cpp,Reports a success status to all registered signal handlers for their associated tags,"This function iterates through registered signal handlers and calls their `onSpecificError` method with a success status for each associated tag, ensuring thread-safe access to the handler map.","This function iterates through registered signal handlers, calling their `onSpecificError` method with a success status for each associated tag after acquiring a lock to protect the signal handler map.",7.99,47.62,20.0,23.81,65.35
63,cpp,Thread-safely removes a connection from a collection if it exists,"This code removes a connection from a map, protected by a mutex, given a connection ID.","This code removes a connection, identified by its ID, from a protected map.",11.45,41.67,27.27,41.67,66.58
64,cpp,Dispatches D-Bus signals for interface addition or removal to specific handlers,"This code handles D-Bus signals indicating the addition or removal of interfaces, routing them to a status event handler.",This code dispatches D-Bus messages related to interface availability changes to appropriate signal handlers.,3.72,44.44,16.0,44.44,81.43
65,cpp,Retrieves the addresses of available service instances from a D-Bus registry,"Retrieves available DBus service instances from a registry and populates a vector with their addresses, returning a success status.","Retrieves available DBus service instances from a registry and populates a vector with their addresses, setting a success status.",13.52,51.61,20.69,45.16,80.72
66,cpp,Queries a D-Bus registry to determine if a specific service instance is available,This function determines the availability status of a DBus service instance and updates the call status accordingly.,This function checks if a DBus service instance is alive and sets its availability status and call status.,9.48,31.25,20.0,31.25,72.36
67,cpp,Notifies that a service is unavailable when its corresponding D-Bus interface is removed,"This function handles a DBus signal indicating the removal of interfaces, updating the internal state and notifying listeners when the removed interface matches the observed interface.","This function processes a DBus signal for interface removal, updating availability status and notifying listeners if the removed interface is the observed one.",3.58,21.62,5.71,16.22,63.16
68,cpp,Notifies CommonAPI listeners of a D-Bus interface's availability status change,This function translates a DBus address and notifies listeners about an interface's availability status change.,This function translates a DBus address to a common address and notifies listeners of an interface status change.,6.05,46.67,14.29,40.0,80.4
69,cpp,Schedules an asynchronous notification of the current proxy status for a newly added listener,This function adds a listener and pushes a notification function to the main loop to inform the listener about events related to a specific subscription.,This function adds a listener and schedules a notification to be sent to that listener via the main loop when relevant DBus events occur.,2.13,26.32,0.0,15.79,69.01
70,cpp,Removes all listener entries that match a given subscription in a thread-safe manner,"This function removes a listener from a collection based on a given subscription, ensuring thread safety with a mutex.","This function removes a listener from a collection when its subscription is no longer active, protected by a mutex.",2.57,30.3,0.0,30.3,67.48
71,cpp,Forwards the addition of a D-Bus signal state handler to the underlying connection object,This function adds a signal handler and subscription to the DBus connection.,This function registers a DBus signal handler with a specific subscription on the connection.,3.93,34.48,0.0,34.48,74.95
72,cpp,Callback to translate available D-Bus service instance addresses to strings and forward the result,"This function handles the asynchronous callback for retrieving available service instances via DBus, translating DBus addresses to strings and passing the status and instances to a callback function.","This function processes the result of an asynchronous DBus call to retrieve available service instances, converting addresses to strings and invoking a callback with the status and instances.",10.23,46.51,19.51,37.21,77.11
73,cpp,Routes a D-Bus message to a registered handler or handles standard introspection requests,"This code handles incoming DBus messages by routing them to registered interface handlers or, if not found, to a default introspection handler.","This code dispatches incoming DBus messages to registered interface handlers based on object path and interface name, or handles introspection requests if no handler is found.",4.34,35.0,10.53,30.0,73.31
74,cpp,"Adds a D-Bus interface handler to a path, preventing duplicate registration except for standard interfaces","The function adds a DBus interface handler to a table, checking for existing entries and handling specific object manager interfaces.","The function adds a DBus interface handler to a table, preventing duplicates and handling special cases for object manager interfaces.",14.23,50.0,23.53,50.0,77.85
75,cpp,"Registers a D-Bus handler for a specific path, preventing duplicates","The function adds a DBusInterfaceHandler to a table of registered objects, preventing duplicates for a given interface path.","The function registers a DBusInterfaceHandler with a specific path, managing multiple handlers for the same path and avoiding duplicates.",13.08,46.67,21.43,40.0,81.11
78,c,Sends a positive UDS response for the ECU Reset service,"This function sends a positive response to an ECU reset request via ISOTP protocol, including the reset type in the transmitted data.","This function transmits a positive ECU reset response message using the ISOTP protocol, specifying the reset type.",5.09,44.44,16.0,37.04,71.77
79,c,"Handles a UDS ECU Reset request, supporting only the hard reset sub-function which reboots the system","This function handles an ECU reset request, performing a hard reset (reboot) if requested and supported, otherwise sending a negative response.","This function handles an ECU reset request, initiating a hard reset (reboot) if the request is valid and the reset type is supported.",4.67,50.0,15.79,35.0,73.43
80,c,"Sends a positive UDS response to a Request Download, specifying the maximum block length",This function sends a positive response to a request download service on the CAN bus using ISOTP.,This function sends a UDS request download response via ISOTP on the CAN bus.,3.72,50.0,15.38,42.86,70.76
81,c,Sends a UDS Transfer Data positive response containing the block sequence counter,This function sends a transfer data response message over ISOTP using a positive SID and specified block sequence counter.,"This function transmits a CAN message via ISOTP to acknowledge a transfer data request, including a positive service ID and block sequence counter.",6.37,40.0,18.18,40.0,74.26
82,c,Sends a UDS positive response for the Routine Control service containing a result code over ISO-TP,This function sends a UDS routine control result message via ISOTP to a specified CAN ID.,This function transmits a UDS routine control result using ISOTP to a designated CAN identifier.,5.82,37.5,13.33,31.25,73.6
83,c,Sends a UDS Transfer Exit positive response message via the ISO-TP protocol,Sends a positive transfer exit response message via ISOTP.,Sends a positive transfer exit response message over CAN using ISOTP.,10.13,58.33,27.27,50.0,82.1
85,c,Finds the index of a given CAN ID in a mapping table,"This function maps a CAN identifier to an index within a lookup table, returning 0xff if not found.","This function maps a CAN identifier to an index within a lookup table, returning 0xff if the identifier is not found.",2.58,36.36,0.0,24.24,70.82
86,c,"Removes a specific LIN-to-CAN receive filter, or all filters, by clearing the associated callback",This function removes a receive filter by clearing the callback associated with a specific LIN address ID.,This function disables a LIN receive filter by clearing its associated callback function.,8.86,55.17,22.22,55.17,68.82
87,c,A LIN callback that dequeues a frame for transmission and executes its completion callback,"This function retrieves a LIN frame from a queue, copies it to an outgoing frame, and triggers a CAN transmission callback.","This function retrieves a LIN frame from a queue, prepares it for transmission, and invokes a CAN transmit callback.",4.72,48.48,19.35,42.42,72.65
88,c,A callback that translates an incoming LIN frame to a CAN frame and invokes a registered handler,This function translates incoming LIN frames into CAN frames and invokes a registered callback function with the translated data.,"This function translates incoming LIN frames into CAN frames and invokes a registered callback function with the translated data, based on a mapping of LIN IDs to CAN IDs.",10.39,47.83,18.18,34.78,73.57
89,c,Initializes a high-voltage shield by configuring its registers and enabling its output,"This function initializes an HV shield device by configuring a GPIO pin, initializing data structures, updating registers, and enabling the output.","This function initializes an HV shield device by configuring an output enable GPIO pin, initializing internal data, updating registers, and enabling the shield.",4.51,44.44,17.65,38.89,77.01
90,c,Sets the gain for a specified DAC on a high-voltage shield,This function sets the gain value for a specified DAC (Digital-to-Analog Converter) channel within an HV shield device and updates the shield's configuration.,This function configures the gain of a specific DAC channel (0 or 1) within an HV shield device by writing to a register and triggering an update.,3.27,30.77,5.41,25.64,74.81
91,c,"Sets a GPIO output enable state, remapping the pin index by swapping the 4-bit nibbles within its byte",This function enables or disables a specific GPIO output pin on an HV shield device by manipulating a register.,This function controls the enable state of a GPIO output pin on an HV shield device by writing to a register and updating the device.,7.83,40.91,14.29,27.27,69.57
92,c,A callback function that forwards a received CAN frame to another device,This function routes CAN frames received on one device to another device using the `can_send` function.,"This function routes CAN frames received on one device to another device, logging debug and warning messages based on transmission success.",7.29,36.36,12.9,30.3,75.05
93,c,Registers a set of rules to route CAN frames between specified interfaces,"This function registers CAN router entries by adding RX filters for each entry, forwarding messages based on defined rules.",This function registers CAN router entries by adding RX filters to forward CAN messages based on specified criteria.,2.66,26.67,0.0,26.67,73.92
94,c,Initializes the CAN router by registering all statically-defined routing tables,Initializes the CAN router by registering multiple routing tables.,Initializes the CAN router by registering routing tables defined in a statically configured array.,36.41,80.0,52.17,64.0,89.05
95,c,Sets a masked group of GPIO pins to the states defined in a value bitmask,"This function sets the value of specific GPIO pins within a shield configuration, applying a mask to select which pins are modified.","This function sets the value of selected GPIO pins based on a mask and provided value, utilizing a hardware shield configuration.",4.5,44.44,5.88,33.33,71.95
96,c,Gets the number of available LIN callback slots,This function calculates and returns the number of available callback slots for an abstract LIN device.,This function determines and returns the number of free callback slots within an abstract LIN communication device.,10.52,48.0,26.09,40.0,77.28
97,c,Registers a callback function for a specific incoming LIN frame,"This function registers an incoming callback for a specific LIN frame ID and size, storing the callback and associated data for later use.",This function registers a callback to be invoked when a specific LIN frame with a given ID and size is received.,6.22,51.61,27.59,45.16,78.5
98,c,Registers a callback function to provide data for a specific outgoing LIN frame,"This function registers an outgoing callback for a specific LIN frame ID and size, storing the callback and associated data for later use.",This function registers a callback to be invoked when a LIN node transmits a message with a specified frame ID and size.,4.5,45.71,12.12,40.0,73.46
99,c,Sets the active schedule table for a LIN scheduler and resets its position to the beginning,"This function activates a specific table within a LIN scheduler, ensuring exclusive access via a semaphore and resetting the entry index.","This function activates a specific table within a LIN scheduler, acquiring a semaphore for exclusive access and resetting the current entry index.",7.24,36.84,11.11,31.58,71.52
100,c,Stops the LIN scheduler from processing its current schedule table,This function disables a LIN scheduler by marking it as stopped and releasing a semaphore.,This function disables a LIN scheduler by setting its table to inactive and releasing a semaphore to prevent further scheduling.,4.32,26.67,7.14,26.67,72.2
