kept_file,near_duplicate_of_kept_file
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-zh-rTW/strings.xml
ardep/samples/lin2can/isotp/commander.overlay,ardep/samples/lin/commander_scheduler/boards/ardep.overlay
ardep/samples/uds/src/main.c,ardep/samples/lin2can/uds/src/main.c
vss-tools/tests/binary/test.vspec,vss-tools/tests/ddsidl/test.vspec
vss-tools/tests/instances/resources/instance_simple_enum_list.vspec,vss-tools/tests/instances/resources/instance_simple_enum.vspec
vss-tools/tests/instances/resources/instance_simple_range_list.vspec,vss-tools/tests/instances/resources/instance_simple_range.vspec
vss-tools/tests/vspec/test_description_error/correct.vspec,vss-tools/tests/vspec/test_type_error/correct.vspec
vss-tools/tests/vspec/test_node_removal/test_files/test_deleted_node.vspec,vss-tools/tests/vspec/test_node_removal/test_files/test.vspec
vss-tools/tests/vspec/test_node_removal/test_files/test_deleted_node.vspec,vss-tools/tests/vspec/test_node_removal/test_files/test_deleted_branch.vspec
vss-tools/tests/vspec/test_overlay_struct_array/test.vspec,vss-tools/tests/vspec/test_overlay_struct/test.vspec
vss-tools/tests/vspec/test_static_uids/test_vspecs/test_added_attribute.vspec,vss-tools/tests/vspec/test_static_uids/test_vspecs/test.vspec
vss-tools/tests/vspec/test_static_uids/test_vspecs/test_added_attribute.vspec,vss-tools/tests/vspec/test_static_uids/test_vspecs/test_datatype.vspec
vss-tools/tests/vspec/test_static_uids/test_vspecs/test_added_attribute.vspec,vss-tools/tests/vspec/test_static_uids/test_vspecs/test_description.vspec
vss-tools/tests/vspec/test_static_uids/test_vspecs/test_added_attribute.vspec,vss-tools/tests/vspec/test_static_uids/test_vspecs/test_name_datatype.vspec
vss-tools/tests/vspec/test_static_uids/test_vspecs/test_added_attribute.vspec,vss-tools/tests/vspec/test_static_uids/test_vspecs/test_unit.vspec
vss-tools/tests/vspec/test_static_uids/test_vspecs/test_added_attribute.vspec,vss-tools/tests/vspec/test_static_uids/test_vspecs/test_vss_path.vspec
vss-tools/tests/vspec/test_static_uids/validation.yaml,vss-tools/tests/vspec/test_static_uids/validation_vspecs/validation.vspec
vss-tools/tests/vspec/test_static_uids/validation.yaml,vss-tools/tests/vspec/test_static_uids/validation_vspecs/validation_semantic_change_1.vspec
vss-tools/tests/vspec/test_static_uids/validation.yaml,vss-tools/tests/vspec/test_static_uids/validation_vspecs/validation_semantic_change_2.vspec
